===================================================
Source: Omega Cen
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Ozel, F., et al. 2016, ApJ in press, arXiv:1505.05155
===================================================
5.375000e+00 1.262500e+00 1.495010e-04
5.375000e+00 1.287500e+00 1.520646e-04
5.375000e+00 1.312500e+00 1.508351e-04
5.375000e+00 1.337500e+00 1.457891e-04
5.375000e+00 1.362500e+00 1.371966e-04
5.375000e+00 1.387500e+00 1.255945e-04
5.375000e+00 1.412500e+00 1.117291e-04
5.375000e+00 1.437500e+00 9.647706e-05
5.375000e+00 1.462500e+00 8.075607e-05
5.375000e+00 1.487500e+00 6.543386e-05
5.375000e+00 1.512500e+00 5.124675e-05
5.375000e+00 1.537500e+00 3.873791e-05
5.375000e+00 1.562500e+00 2.822389e-05
5.375000e+00 1.587500e+00 1.979578e-05
5.375000e+00 1.612500e+00 1.335189e-05
5.375000e+00 1.637500e+00 8.652552e-06
5.375000e+00 1.662500e+00 5.383643e-06
5.375000e+00 1.687500e+00 3.214446e-06
5.375000e+00 1.712500e+00 1.841042e-06
5.375000e+00 1.737500e+00 1.011186e-06
5.375000e+00 1.762500e+00 5.325180e-07
5.375000e+00 1.787500e+00 2.688727e-07
5.375000e+00 1.812500e+00 1.301627e-07
5.375000e+00 1.837500e+00 6.042748e-08
5.375000e+00 1.862500e+00 2.691255e-08
5.375000e+00 1.887500e+00 1.150593e-08
5.375000e+00 1.912500e+00 4.726755e-09
5.375000e+00 1.937500e+00 1.868460e-09
5.375000e+00 1.962500e+00 7.120388e-10
5.375000e+00 1.987500e+00 2.622193e-10
5.375000e+00 2.012500e+00 9.358387e-11
5.375000e+00 2.037500e+00 3.246900e-11
5.375000e+00 2.062500e+00 1.098441e-11
5.375000e+00 2.087500e+00 3.632579e-12
5.375000e+00 2.112500e+00 1.176080e-12
5.375000e+00 2.137500e+00 3.728073e-13
5.375000e+00 2.162500e+00 1.155518e-13
5.375000e+00 2.187500e+00 3.492586e-14
5.375000e+00 2.212500e+00 1.025765e-14
5.375000e+00 2.237500e+00 2.915676e-15
5.375000e+00 2.262500e+00 7.988209e-16
5.375000e+00 2.287500e+00 2.101534e-16
5.375000e+00 2.312500e+00 5.290689e-17
5.375000e+00 2.337500e+00 1.270876e-17
5.375000e+00 2.362500e+00 2.905563e-18
5.375000e+00 2.387500e+00 6.309144e-19
5.375000e+00 2.412500e+00 1.298903e-19
5.375000e+00 2.437500e+00 2.531654e-20
5.375000e+00 2.462500e+00 4.665887e-21
5.375000e+00 2.487500e+00 8.123389e-22
5.375000e+00 2.512500e+00 1.334861e-22
5.375000e+00 2.537500e+00 2.068923e-23
5.375000e+00 2.562500e+00 3.022707e-24
5.375000e+00 2.587500e+00 4.160947e-25
5.375000e+00 2.612500e+00 5.394738e-26
5.375000e+00 2.637500e+00 6.585272e-27
5.375000e+00 2.662500e+00 7.566694e-28
5.375000e+00 2.687500e+00 8.181995e-29
5.375000e+00 2.712500e+00 8.324744e-30
5.375000e+00 2.737500e+00 7.968896e-31
5.375000e+00 2.762500e+00 7.176043e-32
5.375000e+00 2.787500e+00 6.078967e-33
5.375000e+00 2.812500e+00 4.844009e-34
5.375000e+00 2.837500e+00 3.631012e-35
5.375000e+00 2.862500e+00 2.560536e-36
5.375000e+00 2.887500e+00 1.698748e-37
5.375000e+00 2.912500e+00 1.060466e-38
5.375000e+00 2.937500e+00 6.229907e-40
5.375000e+00 2.962500e+00 3.444951e-41
5.625000e+00 5.125000e-01 5.552241e-07
5.625000e+00 5.375000e-01 7.256434e-07
5.625000e+00 5.625000e-01 9.341429e-07
5.625000e+00 5.875000e-01 1.189664e-06
5.625000e+00 6.125000e-01 1.504057e-06
5.625000e+00 6.375000e-01 1.892320e-06
5.625000e+00 6.625000e-01 2.372741e-06
5.625000e+00 6.875000e-01 2.967194e-06
5.625000e+00 7.125000e-01 3.701962e-06
5.625000e+00 7.375000e-01 4.609476e-06
5.625000e+00 7.625000e-01 5.731293e-06
5.625000e+00 7.875000e-01 7.122465e-06
5.625000e+00 8.125000e-01 8.857001e-06
5.625000e+00 8.375000e-01 1.103381e-05
5.625000e+00 8.625000e-01 1.378180e-05
5.625000e+00 8.875000e-01 1.726234e-05
5.625000e+00 9.125000e-01 2.166701e-05
5.625000e+00 9.375000e-01 2.720824e-05
5.625000e+00 9.625000e-01 3.410146e-05
5.625000e+00 9.875000e-01 4.253868e-05
5.625000e+00 1.012500e+00 5.265566e-05
5.625000e+00 1.037500e+00 6.449730e-05
5.625000e+00 1.062500e+00 7.798698e-05
5.625000e+00 1.087500e+00 9.290515e-05
5.625000e+00 1.112500e+00 1.088809e-04
5.625000e+00 1.137500e+00 1.253981e-04
5.625000e+00 1.162500e+00 1.418148e-04
5.625000e+00 1.187500e+00 1.573971e-04
5.625000e+00 1.212500e+00 1.713655e-04
5.625000e+00 1.237500e+00 1.829520e-04
5.625000e+00 1.262500e+00 1.914640e-04
5.625000e+00 1.287500e+00 1.963477e-04
5.625000e+00 1.312500e+00 1.972402e-04
5.625000e+00 1.337500e+00 1.940025e-04
5.625000e+00 1.362500e+00 1.867314e-04
5.625000e+00 1.387500e+00 1.757521e-04
5.625000e+00 1.412500e+00 1.615970e-04
5.625000e+00 1.437500e+00 1.449739e-04
5.625000e+00 1.462500e+00 1.267228e-04
5.625000e+00 1.487500e+00 1.077586e-04
5.625000e+00 1.512500e+00 8.899767e-05
5.625000e+00 1.537500e+00 7.127650e-05
5.625000e+00 1.562500e+00 5.527226e-05
5.625000e+00 1.587500e+00 4.144560e-05
5.625000e+00 1.612500e+00 3.001607e-05
5.625000e+00 1.637500e+00 2.097529e-05
5.625000e+00 1.662500e+00 1.413190e-05
5.625000e+00 1.687500e+00 9.174261e-06
5.625000e+00 1.712500e+00 5.736487e-06
5.625000e+00 1.737500e+00 3.454177e-06
5.625000e+00 1.762500e+00 2.003041e-06
5.625000e+00 1.787500e+00 1.118996e-06
5.625000e+00 1.812500e+00 6.026147e-07
5.625000e+00 1.837500e+00 3.131466e-07
5.625000e+00 1.862500e+00 1.572241e-07
5.625000e+00 1.887500e+00 7.638994e-08
5.625000e+00 1.912500e+00 3.597908e-08
5.625000e+00 1.937500e+00 1.645469e-08
5.625000e+00 1.962500e+00 7.317499e-09
5.625000e+00 1.987500e+00 3.166978e-09
5.625000e+00 2.012500e+00 1.334110e-09
5.625000e+00 2.037500e+00 5.466443e-10
5.625000e+00 2.062500e+00 2.175358e-10
5.625000e+00 2.087500e+00 8.389757e-11
5.625000e+00 2.112500e+00 3.127946e-11
5.625000e+00 2.137500e+00 1.124251e-11
5.625000e+00 2.162500e+00 3.884910e-12
5.625000e+00 2.187500e+00 1.287275e-12
5.625000e+00 2.212500e+00 4.080357e-13
5.625000e+00 2.237500e+00 1.234611e-13
5.625000e+00 2.262500e+00 3.559001e-14
5.625000e+00 2.287500e+00 9.758283e-15
5.625000e+00 2.312500e+00 2.541086e-15
5.625000e+00 2.337500e+00 6.276513e-16
5.625000e+00 2.362500e+00 1.468925e-16
5.625000e+00 2.387500e+00 3.254177e-17
5.625000e+00 2.412500e+00 6.818794e-18
5.625000e+00 2.437500e+00 1.350498e-18
5.625000e+00 2.462500e+00 2.526776e-19
5.625000e+00 2.487500e+00 4.464175e-20
5.625000e+00 2.512500e+00 7.444848e-21
5.625000e+00 2.537500e+00 1.171712e-21
5.625000e+00 2.562500e+00 1.740032e-22
5.625000e+00 2.587500e+00 2.438075e-23
5.625000e+00 2.612500e+00 3.223381e-24
5.625000e+00 2.637500e+00 4.021461e-25
5.625000e+00 2.662500e+00 4.735505e-26
5.625000e+00 2.687500e+00 5.264549e-27
5.625000e+00 2.712500e+00 5.527525e-28
5.625000e+00 2.737500e+00 5.483640e-29
5.625000e+00 2.762500e+00 5.142439e-30
5.625000e+00 2.787500e+00 4.561287e-31
5.625000e+00 2.812500e+00 3.828765e-32
5.625000e+00 2.837500e+00 3.043413e-33
5.625000e+00 2.862500e+00 2.292336e-34
5.625000e+00 2.887500e+00 1.637052e-35
5.625000e+00 2.912500e+00 1.109179e-36
5.625000e+00 2.937500e+00 7.133970e-38
5.625000e+00 2.962500e+00 4.358226e-39
5.875000e+00 5.125000e-01 1.419659e-06
5.875000e+00 5.375000e-01 1.810502e-06
5.875000e+00 5.625000e-01 2.269475e-06
5.875000e+00 5.875000e-01 2.806737e-06
5.875000e+00 6.125000e-01 3.435367e-06
5.875000e+00 6.375000e-01 4.171532e-06
5.875000e+00 6.625000e-01 5.034941e-06
5.875000e+00 6.875000e-01 6.049951e-06
5.875000e+00 7.125000e-01 7.247687e-06
5.875000e+00 7.375000e-01 8.669227e-06
5.875000e+00 7.625000e-01 1.036966e-05
5.875000e+00 7.875000e-01 1.242263e-05
5.875000e+00 8.125000e-01 1.492456e-05
5.875000e+00 8.375000e-01 1.799805e-05
5.875000e+00 8.625000e-01 2.179364e-05
5.875000e+00 8.875000e-01 2.648903e-05
5.875000e+00 9.125000e-01 3.228480e-05
5.875000e+00 9.375000e-01 3.939495e-05
5.875000e+00 9.625000e-01 4.803134e-05
5.875000e+00 9.875000e-01 5.838120e-05
5.875000e+00 1.012500e+00 7.057921e-05
5.875000e+00 1.037500e+00 8.467677e-05
5.875000e+00 1.062500e+00 1.006128e-04
5.875000e+00 1.087500e+00 1.181899e-04
5.875000e+00 1.112500e+00 1.370590e-04
5.875000e+00 1.137500e+00 1.567163e-04
5.875000e+00 1.162500e+00 1.765130e-04
5.875000e+00 1.187500e+00 1.956816e-04
5.875000e+00 1.212500e+00 2.133785e-04
5.875000e+00 1.237500e+00 2.287426e-04
5.875000e+00 1.262500e+00 2.409639e-04
