===================================================
Source: Terzan 2, X7
Columns: Radius (km) - Mass (Msolar) - Posterior Likelihood
Date: February 2016
Cite: Bogdanov, S., et al. 2016, ApJ, in press
===================================================
7.400000e+00 5.000000e-01 3.586156e-79
7.400000e+00 5.320000e-01 8.021084e-79
7.400000e+00 5.640000e-01 3.017671e-78
7.400000e+00 5.960000e-01 2.391469e-77
7.400000e+00 6.280000e-01 3.203756e-76
7.400000e+00 6.600000e-01 6.029935e-75
7.400000e+00 6.920000e-01 1.578643e-73
7.400000e+00 7.240000e-01 5.550999e-72
7.400000e+00 7.560000e-01 2.556936e-70
7.400000e+00 7.880000e-01 1.527505e-68
7.400000e+00 8.200000e-01 1.148518e-66
7.400000e+00 8.520000e-01 1.183288e-64
7.400000e+00 8.840000e-01 1.940864e-62
7.400000e+00 9.160000e-01 4.212063e-60
7.400000e+00 9.480000e-01 2.351867e-57
7.400000e+00 9.800000e-01 1.525687e-54
7.400000e+00 1.012000e+00 1.127142e-51
7.400000e+00 1.044000e+00 9.249061e-49
7.400000e+00 1.076000e+00 8.221560e-46
7.400000e+00 1.108000e+00 7.838169e-43
7.400000e+00 1.140000e+00 7.738859e-40
7.400000e+00 1.172000e+00 7.717557e-37
7.400000e+00 1.204000e+00 8.379163e-34
7.400000e+00 1.236000e+00 9.563809e-31
7.400000e+00 1.268000e+00 9.828005e-28
7.400000e+00 1.300000e+00 8.780021e-25
7.400000e+00 1.332000e+00 6.584552e-22
7.400000e+00 1.364000e+00 3.962856e-19
7.400000e+00 1.396000e+00 1.848203e-16
7.400000e+00 1.428000e+00 6.385597e-14
7.400000e+00 1.460000e+00 1.539242e-11
7.400000e+00 1.492000e+00 2.450068e-09
7.400000e+00 1.524000e+00 2.425280e-07
7.400000e+00 1.556000e+00 1.392048e-05
7.400000e+00 1.588000e+00 4.234189e-04
7.400000e+00 1.620000e+00 6.472795e-03
7.400000e+00 1.652000e+00 4.269601e-02
7.400000e+00 1.684000e+00 1.396455e-01
7.400000e+00 1.716000e+00 2.425260e-01
7.400000e+00 1.748000e+00 2.260159e-01
7.400000e+00 1.780000e+00 1.571352e-01
7.400000e+00 1.812000e+00 5.581859e-02
7.400000e+00 1.844000e+00 1.394479e-02
7.400000e+00 1.876000e+00 2.327059e-03
7.400000e+00 1.908000e+00 2.517311e-04
7.400000e+00 1.940000e+00 1.530780e-05
7.400000e+00 1.972000e+00 5.617839e-07
7.400000e+00 2.004000e+00 1.070936e-08
7.400000e+00 2.036000e+00 9.452555e-11
7.400000e+00 2.068000e+00 4.226859e-13
7.400000e+00 2.100000e+00 1.345317e-15
7.532000e+00 5.000000e-01 4.001055e-73
7.532000e+00 5.320000e-01 8.302603e-73
7.532000e+00 5.640000e-01 2.648444e-72
7.532000e+00 5.960000e-01 1.305242e-71
7.532000e+00 6.280000e-01 1.334846e-70
7.532000e+00 6.600000e-01 1.692529e-69
7.532000e+00 6.920000e-01 4.278637e-68
7.532000e+00 7.240000e-01 1.142785e-66
7.532000e+00 7.560000e-01 3.938800e-65
7.532000e+00 7.880000e-01 1.434343e-63
7.532000e+00 8.200000e-01 7.870542e-62
7.532000e+00 8.520000e-01 6.346834e-60
7.532000e+00 8.840000e-01 5.887225e-58
7.532000e+00 9.160000e-01 7.153614e-56
7.532000e+00 9.480000e-01 1.150118e-53
7.532000e+00 9.800000e-01 2.842513e-51
7.532000e+00 1.012000e+00 1.146752e-48
7.532000e+00 1.044000e+00 7.365150e-46
7.532000e+00 1.076000e+00 3.316814e-43
7.532000e+00 1.108000e+00 1.946922e-40
7.532000e+00 1.140000e+00 1.314549e-37
7.532000e+00 1.172000e+00 8.700093e-35
7.532000e+00 1.204000e+00 5.395532e-32
7.532000e+00 1.236000e+00 3.465371e-29
7.532000e+00 1.268000e+00 2.259329e-26
7.532000e+00 1.300000e+00 1.218117e-23
7.532000e+00 1.332000e+00 6.278546e-21
7.532000e+00 1.364000e+00 2.532946e-18
7.532000e+00 1.396000e+00 7.532392e-16
7.532000e+00 1.428000e+00 1.880357e-13
7.532000e+00 1.460000e+00 3.162274e-11
7.532000e+00 1.492000e+00 3.842475e-09
7.532000e+00 1.524000e+00 2.789734e-07
7.532000e+00 1.556000e+00 1.317552e-05
7.532000e+00 1.588000e+00 3.718018e-04
7.532000e+00 1.620000e+00 4.790360e-03
7.532000e+00 1.652000e+00 3.537855e-02
7.532000e+00 1.684000e+00 1.221327e-01
7.532000e+00 1.716000e+00 2.381992e-01
7.532000e+00 1.748000e+00 1.991596e-01
7.532000e+00 1.780000e+00 2.038957e-01
7.532000e+00 1.812000e+00 9.249070e-02
7.532000e+00 1.844000e+00 2.879231e-02
7.532000e+00 1.876000e+00 6.287784e-03
7.532000e+00 1.908000e+00 9.283065e-04
7.532000e+00 1.940000e+00 8.853194e-05
7.532000e+00 1.972000e+00 4.969714e-06
7.532000e+00 2.004000e+00 1.650286e-07
7.532000e+00 2.036000e+00 3.007526e-09
7.532000e+00 2.068000e+00 2.563273e-11
7.532000e+00 2.100000e+00 1.169359e-13
7.664000e+00 5.000000e-01 2.425530e-67
7.664000e+00 5.320000e-01 4.120806e-67
7.664000e+00 5.640000e-01 1.114576e-66
7.664000e+00 5.960000e-01 4.519801e-66
7.664000e+00 6.280000e-01 3.176817e-65
7.664000e+00 6.600000e-01 3.755780e-64
7.664000e+00 6.920000e-01 5.934040e-63
7.664000e+00 7.240000e-01 1.215967e-61
7.664000e+00 7.560000e-01 3.199385e-60
7.664000e+00 7.880000e-01 1.054201e-58
7.664000e+00 8.200000e-01 4.285342e-57
7.664000e+00 8.520000e-01 2.106514e-55
7.664000e+00 8.840000e-01 1.233501e-53
7.664000e+00 9.160000e-01 1.004706e-51
7.664000e+00 9.480000e-01 1.082765e-49
7.664000e+00 9.800000e-01 1.296089e-47
7.664000e+00 1.012000e+00 1.706059e-45
7.664000e+00 1.044000e+00 4.777943e-43
7.664000e+00 1.076000e+00 1.684149e-40
7.664000e+00 1.108000e+00 6.240645e-38
7.664000e+00 1.140000e+00 2.406877e-35
7.664000e+00 1.172000e+00 9.423072e-33
7.664000e+00 1.204000e+00 3.652475e-30
7.664000e+00 1.236000e+00 1.367047e-27
7.664000e+00 1.268000e+00 4.965327e-25
7.664000e+00 1.300000e+00 1.886506e-22
7.664000e+00 1.332000e+00 6.169125e-20
7.664000e+00 1.364000e+00 1.676650e-17
7.664000e+00 1.396000e+00 3.656950e-15
7.664000e+00 1.428000e+00 6.211866e-13
